"1" 3182918 2013-04-01 0 3182918 0 r
"2" 2648561 2013-04-02 1 2648561 1 r
"3" 3222455 2013-04-03 2 3222455 2 r
"4" 3322814 2013-04-04 3 3322814 3 r
"5" 4522863 2013-04-06 5 3209135 4 i
"5" 4522863 2013-04-06 5 4522863 5 r
"6" 2837397 2013-04-07 6 2837397 6 r
"7" 2700720 2013-04-08 7 2700720 7 r
"8" 3846531 2013-04-09 8 3846531 8 r
"9" 2812869 2013-04-10 9 2812869 9 r
"10" 3040536 2013-04-12 11 2957979 10 i
"10" 3040536 2013-04-12 11 3040536 11 r
"11" 2784836 2013-04-13 12 2784836 12 r
"12" 2562383 2013-04-15 14 2891151 13 i
"12" 2562383 2013-04-15 14 2562383 14 r
"13" 3505180 2013-04-16 15 3505180 15 r
"14" 2641107 2013-04-18 17 2964644 16 i
"14" 2641107 2013-04-18 17 2641107 17 r
"15" 3711264 2013-04-19 18 3711264 18 r
"16" 2583098 2013-04-20 19 2583098 19 r
"17" 3459146 2013-04-21 20 3459146 20 r
"18" 2605354 2013-04-22 21 2605354 21 r
"19" 2680164 2013-04-23 22 2680164 22 r
"20" 2694124 2013-04-25 24 2708266 23 i
"20" 2694124 2013-04-25 24 2694124 24 r
"21" 2720571 2013-04-26 25 2720571 25 r
"22" 2090238 2013-04-28 27 2785685 26 i
"22" 2090238 2013-04-28 27 2090238 27 r
"23" 3501876 2013-05-01 30 2924255 28 i
"23" 3501876 2013-05-01 30 2924255 29 i
"23" 3501876 2013-05-01 30 3501876 30 r
"24" 3027140 2013-05-02 31 3027140 31 r
"25" 3511585 2013-05-03 32 3511585 32 r
"26" 3809256 2013-05-04 33 3809256 33 r
"27" 5184687 2013-05-06 35 3648737 34 i
"27" 5184687 2013-05-06 35 5184687 35 r
"28" 3238996 2013-05-07 36 3238996 36 r
"29" 3120762 2013-05-08 37 3120762 37 r
"30" 4468610 2013-05-09 38 4468610 38 r
"31" 3292718 2013-05-10 39 3292718 39 r
"32" 3527114 2013-05-12 41 3460395 40 i
"32" 3527114 2013-05-12 41 3527114 41 r
"33" 3292842 2013-05-13 42 3292842 42 r
"34" 3060329 2013-05-15 44 3408074 43 i
"34" 3060329 2013-05-15 44 3060329 44 r
"35" 4121733 2013-05-16 45 4121733 45 r
"36" 3153713 2013-05-18 47 3508396 46 i
"36" 3153713 2013-05-18 47 3153713 47 r
"37" 4332108 2013-05-19 48 4332108 48 r
"38" 3089655 2013-05-20 49 3089655 49 r
"39" 4175719 2013-05-21 50 4175719 50 r
"40" 3050674 2013-05-22 51 3050674 51 r
"41" 3165936 2013-05-23 52 3165936 52 r
"42" 3223163 2013-05-25 54 3233064 53 i
"42" 3223163 2013-05-25 54 3223163 54 r
"43" 3260217 2013-05-26 55 3260217 55 r
"44" 2522676 2013-05-28 57 3312299 56 i
"44" 2522676 2013-05-28 57 2522676 57 r
"45" 4156566 2013-06-01 61 3477271 58 i
"45" 4156566 2013-06-01 61 3477271 59 i
"45" 4156566 2013-06-01 61 3477271 60 i
"45" 4156566 2013-06-01 61 4156566 61 r
"46" 3545241 2013-06-02 62 3545241 62 r
"47" 4155766 2013-06-03 63 4155766 63 r
"48" 4423086 2013-06-04 64 4423086 64 r
"49" 5874059 2013-06-06 66 4236573 65 i
"49" 5874059 2013-06-06 66 5874059 66 r
"50" 3741449 2013-06-07 67 3741449 67 r
"51" 3679842 2013-06-08 68 3679842 68 r
"52" 5176510 2013-06-09 69 5176510 69 r
"53" 3802286 2013-06-10 70 3802286 70 r
"54" 4124598 2013-06-12 72 4059036 71 i
"54" 4124598 2013-06-12 72 4124598 72 r
"55" 3870016 2013-06-13 73 3870016 73 r
"56" 3700967 2013-06-15 75 4056497 74 i
"56" 3700967 2013-06-15 75 3700967 75 r
"57" 5021557 2013-06-16 76 5021557 76 r
"58" 3819561 2013-06-18 78 4222460 77 i
"58" 3819561 2013-06-18 78 3819561 78 r
"59" 5147088 2013-06-19 79 5147088 79 r
"60" 3775573 2013-06-20 80 3775573 80 r
"61" 5051919 2013-06-21 81 5051919 81 r
"62" 3859910 2013-06-22 82 3859910 82 r
"63" 3874241 2013-06-23 83 3874241 83 r
"64" 4015213 2013-06-25 85 4005402 84 i
"64" 4015213 2013-06-25 85 4015213 85 r
"65" 4026523 2013-06-26 86 4026523 86 r
"66" 3204607 2013-06-28 88 4073112 87 i
"66" 3204607 2013-06-28 88 3204607 88 r
"67" 4892941 2013-07-01 91 4241054 89 i
"67" 4892941 2013-07-01 91 4241054 90 i
"67" 4892941 2013-07-01 91 4892941 91 r
"68" 4425147 2013-07-02 92 4425147 92 r
"69" 4881896 2013-07-03 93 4881896 93 r
"70" 5095658 2013-07-04 94 5095658 94 r
"71" 6689347 2013-07-06 96 4979416 95 i
"71" 6689347 2013-07-06 96 6689347 96 r
"72" 4428343 2013-07-07 97 4428343 97 r
"73" 4356106 2013-07-08 98 4356106 98 r
"74" 5892625 2013-07-09 99 5892625 99 r
"75" 4369876 2013-07-10 100 4369876 100 r
"76" 4750920 2013-07-12 102 4660412 101 i
"76" 4750920 2013-07-12 102 4750920 102 r
"77" 4368727 2013-07-13 103 4368727 103 r
"78" 4224223 2013-07-15 105 4609775 104 i
"78" 4224223 2013-07-15 105 4224223 105 r
"79" 5505067 2013-07-16 106 5505067 106 r
"80" 4439837 2013-07-18 108 4775988 107 i
"80" 4439837 2013-07-18 108 4439837 108 r
"81" 5872612 2013-07-19 109 5872612 109 r
"82" 4245467 2013-07-20 110 4245467 110 r
"83" 5692411 2013-07-21 111 5692411 111 r
"84" 4315421 2013-07-22 112 4315421 112 r
"85" 4346254 2013-07-23 113 4346254 113 r
"86" 4409658 2013-07-25 115 4455583 114 i
"86" 4409658 2013-07-25 115 4409658 115 r
"87" 4450884 2013-07-26 116 4450884 116 r
"88" 3518873 2013-07-28 118 4513330 117 i
"88" 3518873 2013-07-28 118 3518873 118 r
"89" 5520773 2013-08-01 122 4682575 119 i
"89" 5520773 2013-08-01 122 4682575 120 i
"89" 5520773 2013-08-01 122 4682575 121 i
"89" 5520773 2013-08-01 122 5520773 122 r
"90" 4833542 2013-08-02 123 4833542 123 r
"91" 5361725 2013-08-03 124 5361725 124 r
"92" 5598226 2013-08-04 125 5598226 125 r
"93" 7183374 2013-08-06 127 5435298 126 i
"93" 7183374 2013-08-06 127 7183374 127 r
"94" 4851346 2013-08-07 128 4851346 128 r
"95" 4783575 2013-08-08 129 4783575 129 r
"96" 6603746 2013-08-09 130 6603746 130 r
"97" 4876848 2013-08-10 131 4876848 131 r
"98" 5177026 2013-08-12 133 5122872 132 i
"98" 5177026 2013-08-12 133 5177026 133 r
"99" 4764379 2013-08-13 134 4764379 134 r
"100" 4531662 2013-08-15 136 5008584 135 i
"100" 4531662 2013-08-15 136 4531662 136 r
"101" 5929088 2013-08-16 137 5929088 137 r
"102" 4772504 2013-08-18 139 5137896 138 i
"102" 4772504 2013-08-18 139 4772504 139 r
"103" 6239666 2013-08-19 140 6239666 140 r
"104" 4590079 2013-08-20 141 4590079 141 r
"105" 6082226 2013-08-21 142 6082226 142 r
"106" 4768082 2013-08-22 143 4768082 143 r
"107" 4827795 2013-08-23 144 4827795 144 r
"108" 4892084 2013-08-25 146 4911071 145 i
"108" 4892084 2013-08-25 146 4892084 146 r
"109" 5014437 2013-08-26 147 5014437 147 r
"110" 3881807 2013-08-28 149 5054875 148 i
"110" 3881807 2013-08-28 149 3881807 149 r
"111" 6178271 2013-09-01 153 5259849 150 i
"111" 6178271 2013-09-01 153 5259849 151 i
"111" 6178271 2013-09-01 153 5259849 152 i
"111" 6178271 2013-09-01 153 6178271 153 r
"112" 5534857 2013-09-02 154 5534857 154 r
"113" 6057642 2013-09-03 155 6057642 155 r
"114" 6239275 2013-09-04 156 6239275 156 r
"115" 7996563 2013-09-06 158 6124163 157 i
"115" 7996563 2013-09-06 158 7996563 158 r
"116" 5478631 2013-09-07 159 5478631 159 r
"117" 5438015 2013-09-08 160 5438015 160 r
"118" 7405382 2013-09-09 161 7405382 161 r
"119" 5506586 2013-09-10 162 5506586 162 r
"120" 5902552 2013-09-12 164 5840200 163 i
"120" 5902552 2013-09-12 164 5902552 164 r
"121" 5558640 2013-09-13 165 5558640 165 r
"122" 5230027 2013-09-15 167 5780121 166 i
"122" 5230027 2013-09-15 167 5230027 167 r
"123" 6958960 2013-09-16 168 6958960 168 r
"124" 5523961 2013-09-18 170 6017012 169 i
"124" 5523961 2013-09-18 170 5523961 170 r
"125" 7305357 2013-09-19 171 7305357 171 r
"126" 5525132 2013-09-20 172 5525132 172 r
"127" 7025407 2013-09-21 173 7025407 173 r
"128" 5516810 2013-09-22 174 5516810 174 r
"129" 5500230 2013-09-23 175 5500230 175 r
"130" 5696756 2013-09-25 177 5674114 176 i
"130" 5696756 2013-09-25 177 5696756 177 r
"131" 5703138 2013-09-26 178 5703138 178 r
"132" 4602347 2013-09-28 180 5829643 179 i
"132" 4602347 2013-09-28 180 4602347 180 r
"133" 7168627 2013-10-01 183 6066280 181 i
"133" 7168627 2013-10-01 183 6066280 182 i
"133" 7168627 2013-10-01 183 7168627 183 r
"134" 6306762 2013-10-02 184 6306762 184 r
"135" 6920050 2013-10-03 185 6920050 185 r
"136" 7213429 2013-10-04 186 7213429 186 r
"137" 9361501 2013-10-06 188 7093862 187 i
