site_id,site_catcf,site_catcp
3fbb925e,1,0.00934579439252
a98f559c,1,0.0344827586207
7ccbc07c,1,0.5
60921e71,1,0.5
b2d4c5d5,1,0.166666666667
6dbf2f13,1,0.0909090909091
856af217,1,0.00990099009901
cdcf663f,1,0.5
26aca4d8,1,0.0285714285714
8d9a5714,1,0.25
1d40c53a,1,0.333333333333
7fdacc49,1,0.333333333333
f981f3ce,1,0.0434782608696
1e3f2dbe,1,0.5
2ff4d8a2,1,0.025
0bc88d46,1,0.111111111111
ad34455e,1,0.5
b6cdbeb8,1,0.111111111111
abe8d353,1,0.333333333333
11f2a640,1,0.111111111111
23a2ef57,1,0.5
c9fef327,1,0.0416666666667
9318fc6c,1,0.0769230769231
82c281a3,1,0.333333333333
33eb73c7,1,0.2
56cb2126,1,0.111111111111
8ebf91be,1,0.0909090909091
946f3c2c,1,0.5
5b99fec8,1,0.00813008130081
bf28718c,1,0.0909090909091
f945b5c0,1,0.5
6120ee90,1,0.5
1257ec52,1,0.0909090909091
47378ae4,1,0.125
f19e91fa,1,0.5
a34128b6,1,0.5
40695ea5,1,0.166666666667
42ed98c1,1,0.016393442623
5ada6248,1,0.142857142857
76c6df7b,1,0.0833333333333
bce7a984,1,0.00884955752212
cdfdfa78,1,0.00943396226415
906f3258,1,0.333333333333
27f0eb5f,1,0.0357142857143
4702e68f,1,0.25
2d87a59a,1,0.333333333333
51ee1831,1,0.5
af9519ce,1,0.5
764b041a,1,0.0232558139535
0a71b051,1,0.333333333333
3d0b79c1,1,0.0243902439024
0702a831,1,0.0181818181818
e3eecb2b,1,0.0769230769231
c542150c,1,0.5
efaf6a42,1,0.5
7f7312b0,1,0.142857142857
6968ee16,1,0.5
00f9eb4c,1,0.5
9bd53ecd,1,0.2
8701da13,1,0.333333333333
3ce6e0b4,1,0.5
baabf9fe,1,0.0454545454545
e79cd330,1,0.0014409221902
fa4481a6,1,0.125
d75d823b,1,0.25
ee275343,1,0.333333333333
498e0a62,1,0.5
57277c88,1,0.0384615384615
7585b715,1,0.5
af43e1ae,1,0.0625
8b0ee20f,1,0.5
8f4f06d3,1,0.5
89896edd,1,0.0909090909091
2aeaa4ea,1,0.00854700854701
6e33e669,1,0.25
f21cf7bc,1,0.5
b49f6610,1,0.142857142857
21788e04,1,0.0909090909091
d616e32f,1,0.0666666666667
2a10119c,1,0.125
a3cf62ff,1,0.5
9ec8d90b,1,0.25
8c3b5177,1,0.2
40248b6e,1,0.111111111111
d6096ac2,1,0.5
8765c6ca,1,0.333333333333
92f5f4e1,1,0.5
b4896cc0,1,0.5
b7287600,1,0.333333333333
e83352fd,1,0.333333333333
85689c89,1,0.25
9e99cb4b,1,0.125
36386441,1,0.5
87397e22,1,0.5
85ca8c0f,1,0.142857142857
3a740ae9,1,0.333333333333
6aa10f01,1,0.5
1a43982e,1,0.0555555555556
874df7cc,1,0.0666666666667
4a643612,1,0.5
1fc89764,1,0.5
778cf689,1,0.333333333333
e82cec3d,1,0.111111111111
8b35f867,1,0.5
c35f00ba,1,0.25
ff7209f2,1,0.25
20a81d0e,1,0.0833333333333
15c0c4f0,1,0.111111111111
d08bbd9e,1,0.125
01b37882,1,0.5
724b9ec6,1,0.5
bb8052e1,1,0.125
595d920f,1,0.25
d2997ca9,1,0.333333333333
0ab4033a,1,0.25
3d634a1f,1,0.166666666667
91705435,1,0.142857142857
ecaa4a02,1,0.2
b24cb9b3,1,0.25
31bd2230,1,0.333333333333
9a3e48e0,1,0.166666666667
bc7f7792,1,0.333333333333
da36fa91,1,0.166666666667
f21e425b,1,0.25
a9aea987,1,0.0714285714286
d52aa618,1,0.003300330033
08b4239f,1,0.2
b4d2cfa1,1,0.0384615384615
7768ed2d,1,0.111111111111
cbc6b7d8,1,0.25
cf5912a8,1,0.333333333333
99d86583,1,0.2
6e036c76,1,0.5
6ad291d0,1,0.111111111111
45d31f84,1,0.166666666667
3cac0168,1,0.5
547148d6,1,0.111111111111
e4385284,1,0.25
103f913a,1,0.5
587fec64,1,0.5
84f7fd32,1,0.0588235294118
89309180,1,0.0909090909091
2cb2fc9e,1,0.166666666667
4313f5fb,1,0.333333333333
b3a68a46,1,0.0232558139535
d8c5c331,1,0.5
f3ca6f9b,1,0.5
0cc2e0a2,1,0.5
80b63c9a,1,0.0434782608696
7a79befa,1,0.5
96a8df50,1,0.333333333333
4ace9ccd,1,0.333333333333
f0dad946,1,0.5
5bed8cfd,1,0.333333333333
1092aac6,1,0.00540540540541
de190df8,1,0.5
e7273cf3,1,0.5
05c1be96,1,0.0909090909091
7980e74a,1,0.0238095238095
ed7bc14b,1,0.25
7a31940a,1,0.0769230769231
80c127e2,1,0.5
aafc0f4d,1,0.111111111111
d6ae7dfd,1,0.166666666667
5394930e,1,0.5
fc71cb8d,1,0.25
03c9551e,1,0.333333333333
63c7781b,1,0.111111111111
04d13a4e,1,0.00704225352113
abf47b8a,1,0.0185185185185
e7f93031,1,0.333333333333
d38d5c3d,1,0.333333333333
fabb20c3,1,0.25
17f84af1,1,0.333333333333
70d5e894,1,0.2
7d1fbb4c,1,0.5
bc37009b,1,0.0714285714286
ac35dd48,1,0.2
c34a2c59,1,0.25
7360f15c,1,0.03125
d1f4d489,1,0.125
d18abb14,1,0.25
bb9c7045,1,0.333333333333
30f30c1f,1,0.111111111111
f139e4f2,1,0.5
2fc40960,1,0.0833333333333
a7f68d8d,1,0.00327868852459
d5a1df19,1,0.25
1a8bb7b7,1,0.142857142857
e77cd59e,1,0.333333333333
28fbacbf,1,0.333333333333
8eed21c5,1,0.142857142857
208b9c45,1,0.2
712d7296,1,0.333333333333
6746fb41,1,0.5
3d5557f4,1,0.25
23c58833,1,0.5
8304a822,1,0.1
44374950,1,0.25
5b338db8,1,0.25
db5f63cb,1,0.2
3192d93f,1,0.2
86734e8e,1,0.04
971375e8,1,0.2
ba3ef0b0,1,0.25
eb5b4c4a,1,0.0714285714286
ad47cba4,1,0.2
2a1a9dff,1,0.016393442623
1361285b,1,0.166666666667
79c16aec,1,0.5
0a5f4884,1,0.333333333333
25a977d9,1,0.25
311514e7,1,0.25
925699b4,1,0.333333333333
0b03612f,1,0.5
a5889471,1,0.333333333333
9ed5e790,1,0.111111111111
168815f9,1,0.0172413793103
2624fd0e,1,0.166666666667
f741e0d9,1,0.125
f382a7e8,1,0.333333333333
119b47f0,1,0.5
06d81ef9,1,0.333333333333
66d1cc1d,1,0.166666666667
80d3d55b,1,0.2
31b1a3ec,1,0.0625
519b5032,1,0.2
fcc1853f,1,0.5
29ab8a5e,1,0.166666666667
5426dce3,1,0.00806451612903
627bfa57,1,0.333333333333
de157547,1,0.0526315789474
3e94f372,1,0.5
d8b6bb58,1,0.5
297faab9,1,0.5
5849359b,1,0.166666666667
