i	random_value
1	0.2870767599357180
2	0.8171762473299940
3	0.6450124361742140
4	0.4182259526344680
5	0.1292036842231610
6	0.6448898810783220
7	0.7453595575426900
8	0.7145752880630500
9	0.7232732369033470
10	0.9753808801042400
11	0.1972429541417150
12	0.6079942545888650
13	0.0924698091436360
14	0.8241461045844230
15	0.5876316321124740
16	0.2754190366399660
17	0.3607266804169750
18	0.3409876099173680
19	0.5974921771605340
20	0.7084731873080310
21	0.3953181588833530
22	0.4978589576285200
23	0.1830299714867910
24	0.8644716573217960
25	0.0974430485857072
26	0.0918237738360492
27	0.0503225394864755
28	0.2057639516230130
29	0.7352590669521830
30	0.0382571647751089
31	0.7158837749993690
32	0.3360701519117240
33	0.0196238557140989
34	0.3740084583535030
35	0.8206428273887760
36	0.2924640461652170
37	0.3908239948556490
38	0.5454896120666440
39	0.4621724538837690
40	0.0314836140105639
41	0.7961602586382600
42	0.1506736958540580
43	0.8907612969896650
44	0.6231287440428410
45	0.5314554576858060
46	0.5838636554618000
47	0.3058070724374980
48	0.1817218329018640
49	0.1044556167713970
50	0.1331778238991470
51	0.8579154082156280
52	0.7446581429384500
53	0.7006972732574090
54	0.9864055097914740
55	0.7451832129343390
56	0.4432996262149280
57	0.7528120702076770
58	0.6687009433368190
59	0.4960297453868370
60	0.9652393195809930
61	0.1366145460179120
62	0.2598619025587690
63	0.5751478271317820
64	0.2900178424429240
65	0.8574344582212280
66	0.5848471980753880
67	0.8972079827193120
68	0.9429977984368040
69	0.6669152604621780
70	0.4255095232111140
71	0.9026210647941680
72	0.6909904246462360
73	0.7038832858080890
74	0.1087931543555210
75	0.8377552599751090
76	0.3767498378253450
77	0.2656544953362030
78	0.9227379014471400
79	0.4824923595641850
80	0.6039767030204530
81	0.0566274164270055
82	0.3423451546333190
83	0.8084841132681710
84	0.9667625693141030
85	0.6099604654305490
86	0.8285714460541080
87	0.1051856708315780
88	0.1393032344877360
89	0.3394552381204530
90	0.3325766360114390
91	0.6082113016613850
92	0.7764414000357980
93	0.1799952452558210
94	0.6398376340274410
95	0.9527848279409730
96	0.0589561672613819
97	0.4016497567350770
98	0.1949791425376080
99	0.3856294371421450
100	0.7392930656773930
101	0.5757133914673020
102	0.7804199222700810
103	0.4748157291350020
104	0.6778088163408630
105	0.9732188492059100
106	0.8099882121762410
107	0.9572355712444740
108	0.7661671892038590
109	0.2086062890717860
110	0.7704546603511290
111	0.7384297899939580
112	0.9736271049684440
113	0.5423793575906810
114	0.5959253717235380
115	0.9532088096046150
116	0.8907788258347700
117	0.8833758783369200
118	0.1497664786003230
119	0.4317803602929160
120	0.0725695238988768
121	0.5542534495292660
122	0.2974483691128430
123	0.9541440373637670
124	0.3368166923946600
125	0.2212055522885920
126	0.1380396208870440
127	0.8517448109047580
128	0.1798641308569490
129	0.5970082629676420
130	0.6298982302925520
131	0.8766700283482920
132	0.3778300357361420
133	0.4339151427381620
134	0.9961481742035070
135	0.9866913055550300
136	0.3574600835032410
137	0.1147904103465160
138	0.0180855182908772
139	0.4845682979960490
140	0.3232531875051880
141	0.4382096063277370
142	0.1178708589360980
143	0.9505561464854370
144	0.1152320557509250
145	0.4608351198968780
146	0.5277565610766940
147	0.6838598501911390
148	0.3469827159190460
149	0.8065843883833030
150	0.3382183862943910
151	0.8749966564998550
152	0.1356422876979100
153	0.4336860305211910
154	0.0102923643914603
155	0.2186275361528290
156	0.2493986010640550
157	0.3379640134569370
158	0.5869956152156320
159	0.7152498746711010
160	0.8755785625860200
161	0.3319285194735180
162	0.3260442425244440
163	0.9229880091522510
164	0.7898972139244290
165	0.1391826284904380
166	0.5880549007601070
167	0.0801235333181562
168	0.1252322013713530
169	0.6169276155901890
170	0.8099894541699700
171	0.3623044483376480
172	0.4476996116638790
173	0.6140483903537880
174	0.2947700341899860
175	0.4271419444427940
176	0.0312851566835459
177	0.1485606618592340
178	0.1759880098253380
179	0.9801931480159740
180	0.0959609219858253
181	0.7574904327223980
182	0.0784073869602686
183	0.5037594503581930
184	0.2700368187766120
185	0.9419618837236380
186	0.1908150462658370
187	0.5411211573603100
188	0.3791729216226380
189	0.0089137363676710
190	0.4411871627611880
191	0.8324321295251440
192	0.5804417629004930
193	0.6623459263093000
194	0.9705559688937040
195	0.6481565990992580
196	0.1385403133535910
197	0.6116076337718010
198	0.9263046256173140
199	0.2891229337723930
200	0.0233340204659358
201	0.8732079044789760
202	0.5121160289378780
203	0.7497179559311370
204	0.4637634503761290
205	0.4322504545915850
206	0.8828519176559670
207	0.7727949296771630
208	0.8723887401716250
209	0.9350531251382700
210	0.0243721763905500
211	0.9704222510799040
212	0.5468877901349870
213	0.0679947839745898
214	0.7014685072401680
215	0.3590400880320480
216	0.6068022790088420
217	0.0486191620530221
218	0.7772516768550980
219	0.7402314203401830
220	0.8991451957047330
221	0.7538191740984420
222	0.9263294154823950
223	0.6703257711666410
224	0.6141115854071210
225	0.0535523203637158
226	0.7264749275694840
227	0.5081796068084980
228	0.8748836778612110
229	0.4514506216524120
230	0.5476144760999620
231	0.8129929200682660
232	0.4055695660784850
233	0.3049672374188320
234	0.5524370650502350
235	0.4045148817602740
236	0.9627392581265210
237	0.1329452601652630
238	0.3410032528686810
239	0.8870739148179500
240	0.1416777462240660
241	0.9043222979645780
242	0.2232060052765570
243	0.8332094612550420
244	0.4279248617546480
245	0.0418446968055490
246	0.6128966361802630
247	0.9890293631999680
248	0.9722662653638220
249	0.0073567100570560
250	0.0148666927362460
251	0.1371832998314650
252	0.7898087005384560
253	0.1518043661421130
254	0.5054576007786190
255	0.0774543373288177
256	0.1169434406731740
257	0.4769719803812640
258	0.1162279816682710
259	0.5019957442159580
260	0.3879989236444930
261	0.8411624491999130
262	0.4977427340938540
263	0.7267325815208960
264	0.6743457191222340
265	0.2584115088736300
