0	0.0	0
1.5	0.0	0
0	1.5	0
1.5	1.5	0

0	0.5	26.82927
1.5	0.5	26.82927
0	2.0	26.82927
1.5	2.0	26.82927

34	3.0	38.461536
35.5	3.0	38.461536
34	4.5	38.461536
35.5	4.5	38.461536

34	2.0	43.90244
35.5	2.0	43.90244
34	3.5	43.90244
35.5	3.5	43.90244

42	0.5	60.975613
43.5	0.5	60.975613
42	2.0	60.975613
43.5	2.0	60.975613

64	5.0	55.0
65.5	5.0	55.0
64	6.5	55.0
65.5	6.5	55.0

68	10.0	55.555553
69.5	10.0	55.555553
68	11.5	55.555553
69.5	11.5	55.555553

68	10.5	58.536587
69.5	10.5	58.536587
68	12.0	58.536587
69.5	12.0	58.536587

106	17.0	62.5
107.5	17.0	62.5
106	18.5	62.5
107.5	18.5	62.5

